sub.num,experiment,block.order,test.order,block.type,trial.type,looking
19,older,failed.first,sad.first,complete,sad,0.8889705669068381
21,older,complete.first,happy.first,complete,happy,1.0295763903193138
21,older,complete.first,happy.first,complete,sad,1.1570540942372922
21,older,complete.first,happy.first,failed,happy,0.7266901026524382
21,older,complete.first,happy.first,failed,sad,0.8282750948100239
22,older,failed.first,happy.first,failed,happy,0.7659099339457174
22,older,failed.first,happy.first,failed,sad,0.8556601021781117
22,older,failed.first,happy.first,complete,happy,0.8488902997510815
22,older,failed.first,happy.first,complete,sad,1.1822642407268216
23,older,complete.first,sad.first,complete,happy,1.1422953672716847
23,older,complete.first,sad.first,complete,sad,1.4025025780040437
23,older,complete.first,sad.first,failed,happy,0.8379741198063727
23,older,complete.first,sad.first,failed,sad,0.9686517672163728
24,older,failed.first,sad.first,failed,happy,1.1135545876122315
24,older,failed.first,sad.first,failed,sad,0.9975218339816341
24,older,failed.first,sad.first,complete,happy,0.8179459042658367
24,older,failed.first,sad.first,complete,sad,0.8323690728546094
25,older,failed.first,sad.first,failed,happy,1.4768046664365477
25,older,failed.first,sad.first,failed,sad,1.0808733945698217
25,older,failed.first,sad.first,complete,happy,1.0534203155748845
25,older,failed.first,sad.first,complete,sad,1.124549289819547
26,older,complete.first,happy.first,complete,happy,0.9304116887354634
26,older,complete.first,happy.first,complete,sad,1.1730589968080278
26,older,complete.first,happy.first,failed,happy,0.7605679581315892
26,older,complete.first,happy.first,failed,sad,0.7681005880292504
27,older,failed.first,happy.first,failed,happy,0.7408239072627193
27,older,failed.first,happy.first,failed,sad,1.212720172529384
27,older,failed.first,happy.first,complete,happy,0.7317385100023904
27,older,failed.first,happy.first,complete,sad,0.9520344552862692
29,older,failed.first,sad.first,failed,happy,0.7947892467185738
29,older,failed.first,sad.first,failed,sad,0.9749591029654615
29,older,failed.first,sad.first,complete,happy,0.7340575542503471
29,older,failed.first,sad.first,complete,sad,0.7061524787969359
30,older,complete.first,happy.first,complete,happy,0.8369634339721885
30,older,complete.first,happy.first,complete,sad,1.026964576793158
30,older,complete.first,happy.first,failed,happy,0.8435786552583777
30,older,complete.first,happy.first,failed,sad,0.7988573377765664
31,older,failed.first,happy.first,failed,happy,0.8504391186872975
31,older,failed.first,happy.first,failed,sad,0.9985853673827064
31,older,failed.first,happy.first,complete,happy,0.8026347092240835
31,older,failed.first,happy.first,complete,sad,0.748796086014287
32,older,complete.first,sad.first,complete,happy,1.0582783180910025
32,older,complete.first,sad.first,complete,sad,1.3989451805372466
32,older,complete.first,sad.first,failed,happy,0.5075466381776155
32,older,complete.first,sad.first,failed,sad,0.8771951322392406
33,older,complete.first,happy.first,complete,happy,1.052421513694993
33,older,complete.first,happy.first,complete,sad,1.0913170158641945
33,older,complete.first,happy.first,failed,happy,0.8296954949639976
33,older,complete.first,happy.first,failed,sad,0.9155067800118057
34,older,failed.first,happy.first,failed,happy,1.2466291012090562
34,older,failed.first,happy.first,failed,sad,0.938533554209001
34,older,failed.first,happy.first,complete,happy,0.9550241443125937
34,older,failed.first,happy.first,complete,sad,0.9806671965342094
36,older,failed.first,sad.first,failed,happy,0.7834282353203893
36,older,failed.first,sad.first,failed,sad,0.7946869828465137
36,older,failed.first,sad.first,complete,happy,0.6002459032502585
36,older,failed.first,sad.first,complete,sad,1.4187943557618679
38,older,failed.first,happy.first,failed,happy,1.2867949047214107
38,older,failed.first,happy.first,failed,sad,1.1460083258205431
38,older,failed.first,happy.first,complete,happy,0.9287445724912233
38,older,failed.first,happy.first,complete,sad,1.0238019898797752
39,older,complete.first,happy.first,complete,happy,0.6786788096526052
39,older,complete.first,happy.first,complete,sad,1.313936302693639
39,older,complete.first,happy.first,failed,happy,0.6434127727467428
39,older,complete.first,happy.first,failed,sad,0.7139245245887795
41,older,complete.first,sad.first,complete,happy,0.8672143295363317
41,older,complete.first,sad.first,complete,sad,1.1808793528479398
41,older,complete.first,sad.first,failed,happy,0.7971321600606426
41,older,complete.first,sad.first,failed,sad,0.6822600624451531
42,older,complete.first,sad.first,complete,happy,0.683877719386209
42,older,complete.first,sad.first,complete,sad,0.7678862392736752
42,older,complete.first,sad.first,failed,happy,0.7300557543085329
42,older,complete.first,sad.first,failed,sad,0.814971230197221
43,older,failed.first,sad.first,failed,happy,1.0052502076031988
43,older,failed.first,sad.first,failed,sad,0.9285945477677368
43,older,failed.first,sad.first,complete,happy,0.3285491835532104
43,older,failed.first,sad.first,complete,sad,0.48342575448024644
44,older,complete.first,sad.first,complete,happy,1.0517883254842277
44,older,complete.first,sad.first,complete,sad,0.984373533115943
44,older,complete.first,sad.first,failed,happy,0.7039164614375439
44,older,complete.first,sad.first,failed,sad,0.9677015743892361
